
time,Y4_sat,angle_setpoint
0.000697,0.000000,0.000000
0.001550,0.000000,0.000000
0.002566,0.000000,0.000000
0.003472,0.000000,0.000000
0.004604,0.000000,0.000000
0.005526,0.000000,0.000000
0.006537,0.000000,0.000000
0.007971,0.000000,0.000000
0.008799,0.000000,0.000000
0.009581,0.000000,0.000000
0.010521,0.000000,0.000000
0.011679,0.000000,0.000000
0.012837,0.000000,0.000000
0.013495,0.000000,0.000000
0.014541,0.000000,0.000000
0.015435,0.000000,0.000000
0.016420,0.000000,0.000000
0.017486,0.000000,0.000000
0.018558,0.000000,0.000000
0.019496,0.000000,0.000000
0.020488,0.000000,0.000000
0.021973,0.000000,0.000000
0.022694,0.000000,0.000000
0.023683,0.000000,0.000000
0.024714,0.000000,0.000000
0.025738,0.000000,0.000000
0.026633,0.000000,0.000000
0.027544,0.000000,0.000000
0.028450,0.000000,0.000000
0.029830,0.000000,0.000000
0.030620,0.000000,0.000000
0.031614,0.000000,0.000000
0.032628,0.000000,0.000000
0.033517,0.000000,0.000000
0.034762,0.000000,0.000000
0.035676,0.000000,0.000000
0.036550,0.000000,0.000000
0.037547,0.000000,0.000000
0.038846,0.000000,0.000000
0.039547,0.000000,0.000000
0.040689,0.000000,0.000000
0.041829,0.000000,0.000000
0.042689,0.000000,0.000000
0.043518,0.000000,0.000000
0.044537,0.000000,0.000000
0.045486,0.000000,0.000000
0.046785,0.000000,0.000000
0.047494,0.000000,0.000000
0.048462,0.000000,0.000000
0.049506,0.000000,0.000000
0.050445,0.000000,0.000000
0.051535,0.000000,0.000000
0.052574,0.000000,0.000000
0.053775,0.000000,0.000000
0.054522,0.000000,0.000000
0.055506,0.000000,0.000000
0.056685,0.000000,0.000000
0.057539,0.000000,0.000000
0.058541,0.000000,0.000000
0.059471,0.000000,0.000000
0.060683,0.000000,0.000000
0.061497,0.000000,0.000000
0.062542,0.000000,0.000000
0.063609,0.000000,0.000000
0.064541,0.000000,0.000000
0.065535,0.000000,0.000000
0.066524,0.000000,0.000000
0.067522,0.000000,0.000000
0.068466,0.000000,0.000000
0.069687,0.000000,0.000000
0.070926,0.000000,0.000000
0.071523,0.000000,0.000000
0.072492,0.000000,0.000000
0.073507,0.000000,0.000000
0.074645,0.000000,0.000000
0.075602,0.000000,0.000000
0.076550,0.000000,0.000000
0.077497,0.000000,0.000000
0.078455,0.000000,0.000000
0.079588,0.000000,0.000000
0.080496,0.000000,0.000000
0.081490,0.000000,0.000000
0.082473,0.000000,0.000000
0.083392,0.000000,0.000000
0.084504,0.000000,0.000000
0.085468,0.000000,0.000000
0.086468,0.000000,0.000000
0.087483,0.000000,0.000000
0.088735,0.000000,0.000000
0.089700,0.000000,0.000000
0.090679,0.000000,0.000000
0.091574,0.000000,0.000000
0.092538,0.000000,0.000000
0.093413,0.000000,0.000000
0.094576,0.000000,0.000000
0.095721,0.000000,0.000000
0.096440,0.000000,0.000000
0.097535,0.000000,0.000000
0.098427,0.000000,0.000000
0.099535,0.000000,0.000000
0.100463,0.000000,0.000000
0.101704,0.000000,0.000000
0.102624,0.000000,0.000000
0.103605,0.000000,0.000000
0.104657,0.000000,0.000000
0.105517,0.000000,0.000000
0.106436,0.000000,0.000000
0.107531,0.000000,0.000000
0.108529,0.000000,0.000000
0.109676,0.000000,0.000000
0.110505,0.000000,0.000000
0.111558,0.000000,0.000000
0.112581,0.000000,0.000000
0.113479,0.000000,0.000000
0.114451,0.000000,0.000000
0.115704,0.000000,0.000000
0.116546,0.000000,0.000000
0.117498,0.000000,0.000000
0.118528,0.000000,0.000000
0.119691,0.000000,0.000000
0.120774,0.000000,0.000000
0.121760,0.000000,0.000000
0.122805,0.000000,0.000000
0.123691,0.000000,0.000000
0.124526,0.000000,0.000000
0.125526,0.000000,0.000000
0.126625,0.000000,0.000000
0.127576,0.000000,0.000000
0.128446,0.000000,0.000000
0.129549,0.000000,0.000000
0.130614,0.000000,0.000000
0.131738,0.000000,0.000000
0.132533,0.000000,0.000000
0.133450,0.000000,0.000000
0.134457,0.000000,0.000000
0.135688,0.000000,0.000000
0.136559,0.000000,0.000000
0.137537,0.000000,0.000000
0.138446,0.000000,0.000000
0.139418,0.000000,0.000000
0.140413,0.000000,0.000000
0.141527,0.000000,0.000000
0.142532,0.000000,0.000000
0.143526,0.000000,0.000000
0.144494,0.000000,0.000000
0.145530,0.000000,0.000000
0.146532,0.000000,0.000000
0.147955,0.000000,0.000000
0.148625,0.000000,0.000000
0.149533,0.000000,0.000000
0.150663,0.000000,0.000000
0.151594,0.000000,0.000000
