time,Y4_sat,angle_setpoint
0.000646,0.000000,0.000000
0.001497,0.000000,0.000000
0.002507,0.000000,0.000000
0.003449,0.000000,0.000000
0.004434,0.000000,0.000000
0.005490,0.000000,0.000000
0.006475,0.000000,0.000000
0.007460,0.000000,0.000000
0.008453,0.000000,0.000000
0.009409,0.000000,0.000000
0.010416,0.000000,0.000000
0.011416,0.000000,0.000000
0.012480,0.000000,0.000000
0.013489,0.000000,0.000000
0.014429,0.000000,0.000000
0.015441,0.000000,0.000000
0.016420,0.000000,0.000000
0.017413,0.000000,0.000000
0.018443,0.000000,0.000000
0.019466,0.000000,0.000000
0.020789,0.000000,0.000000
0.021510,0.000000,0.000000
0.022429,0.000000,0.000000
0.023377,0.000000,0.000000
0.024414,0.000000,0.000000
0.025379,0.000000,0.000000
0.026551,0.000000,0.000000
0.027563,0.000000,0.000000
0.028476,0.000000,0.000000
0.029465,0.000000,0.000000
0.030386,0.000000,0.000000
0.031413,0.000000,0.000000
0.032406,0.000000,0.000000
0.033399,0.000000,0.000000
0.034416,0.000000,0.000000
0.035466,0.000000,0.000000
0.036414,0.000000,0.000000
0.037424,0.000000,0.000000
0.038469,0.000000,0.000000
0.039487,0.000000,0.000000
0.040659,0.000000,0.000000
0.041494,0.000000,0.000000
0.042459,0.000000,0.000000
0.043498,0.000000,0.000000
0.044505,0.000000,0.000000
0.045523,0.000000,0.000000
0.046396,0.000000,0.000000
0.047406,0.000000,0.000000
0.048668,0.000000,0.000000
0.049431,0.000000,0.000000
0.050428,0.000000,0.000000
0.051380,0.000000,0.000000
0.052392,0.000000,0.000000
0.053400,0.000000,0.000000
0.054432,0.000000,0.000000
0.055484,0.000000,0.000000
0.056423,0.000000,0.000000
0.057460,0.000000,0.000000
0.058675,0.000000,0.000000
0.059426,0.000000,0.000000
0.060467,0.000000,0.000000
0.061476,0.000000,0.000000
0.062443,0.000000,0.000000
0.063403,0.000000,0.000000
0.064438,0.000000,0.000000
0.065430,0.000000,0.000000
0.066402,0.000000,0.000000
0.067401,0.000000,0.000000
0.068541,0.000000,0.000000
0.069444,0.000000,0.000000
0.070415,0.000000,0.000000
0.071414,0.000000,0.000000
0.072396,0.000000,0.000000
0.073551,0.000000,0.000000
0.074451,0.000000,0.000000
0.075528,0.000000,0.000000
0.076592,0.000000,0.000000
0.077818,0.000000,0.000000
0.078487,0.000000,0.000000
0.079430,0.000000,0.000000
0.080442,0.000000,0.000000
0.081411,0.000000,0.000000
0.082460,0.000000,0.000000
0.083440,0.000000,0.000000
0.084434,0.000000,0.000000
0.085427,0.000000,0.000000
0.086400,0.000000,0.000000
0.087401,0.000000,0.000000
0.088478,0.000000,0.000000
0.089650,0.000000,0.000000
0.090427,0.000000,0.000000
0.091487,0.000000,0.000000
0.092466,0.000000,0.000000
0.093415,0.000000,0.000000
0.094433,0.000000,0.000000
0.095403,0.000000,0.000000
0.096475,0.000000,0.000000
0.097465,0.000000,0.000000
0.098462,0.000000,0.000000
0.099464,0.000000,0.000000
0.100447,0.000000,0.000000
0.101412,0.000000,0.000000
0.102372,0.000000,0.000000
0.103465,0.000000,0.000000
0.104529,0.000000,0.000000
0.105468,0.000000,0.000000
0.106464,0.000000,0.000000
0.107590,0.000000,0.000000
0.108439,0.000000,0.000000
0.109482,0.000000,0.000000
0.110673,0.000000,0.000000
0.111489,0.000000,0.000000
0.112431,0.000000,0.000000
0.113419,0.000000,0.000000
0.114409,0.000000,0.000000
0.115414,0.000000,0.000000
0.116384,0.000000,0.000000
0.117719,0.000000,0.000000
0.118483,0.000000,0.000000
0.119410,0.000000,0.000000
0.120433,0.000000,0.000000
0.121390,0.000000,0.000000
0.122465,0.000000,0.000000
0.123421,0.000000,0.000000
0.124483,0.000000,0.000000
0.125487,0.000000,0.000000
0.126470,0.000000,0.000000
0.127445,0.000000,0.000000
0.128503,0.000000,0.000000
0.129429,0.000000,0.000000
0.130438,0.000000,0.000000
0.131446,0.000000,0.000000
0.132410,0.000000,0.000000
0.133414,0.000000,0.000000
0.134390,0.000000,0.000000
0.135382,0.000000,0.000000
0.136428,0.000000,0.000000
