MCU_linear_response.csvtime,Y4_sat,angle_setpoint
0.211529,0.000000,0.000000
0.212583,0.000000,0.000000
0.213582,0.000000,0.000000
0.214502,0.000000,0.000000
0.215514,0.000000,0.000000
0.216507,0.000000,0.000000
0.217491,0.000000,0.000000
0.218494,0.000000,0.000000
0.219603,0.000000,0.000000
0.220583,0.000000,0.000000
0.221493,0.000000,0.000000
0.222635,0.000000,0.000000
0.223573,0.000000,0.000000
0.224578,0.000000,0.000000
0.225486,0.000000,0.000000
0.226607,0.000000,0.000000
0.227577,0.000000,0.000000
0.228513,0.000000,0.000000
0.229553,0.000000,0.000000
0.230567,0.000000,0.000000
0.231513,0.000000,0.000000
0.232600,0.000000,0.000000
0.233518,0.000000,0.000000
0.234504,0.000000,0.000000
0.235605,0.000000,0.000000
0.236532,0.000000,0.000000
0.237412,0.000000,0.000000
0.238573,0.000000,0.000000
0.239484,0.000000,0.000000
0.240536,0.000000,0.000000
0.241519,0.000000,0.000000
0.242523,0.000000,0.000000
0.243476,0.000000,0.000000
0.244399,0.000000,0.000000
0.245503,0.000000,0.000000
0.246510,0.000000,0.000000
0.247551,0.000000,0.000000
0.248575,0.000000,0.000000
0.249545,0.000000,0.000000
0.250735,0.000000,0.000000
0.251510,0.000000,0.000000
0.252514,0.000000,0.000000
0.253483,0.000000,0.000000
0.254605,0.000000,0.000000
0.255658,0.000000,0.000000
0.256547,0.000000,0.000000
0.257494,0.000000,0.000000
0.258477,0.000000,0.000000
0.259405,0.000000,0.000000
0.260488,0.000000,0.000000
0.261560,0.000000,0.000000
0.262487,0.000000,0.000000
0.263481,0.000000,0.000000
0.264487,0.000000,0.000000
0.265514,0.000000,0.003900
0.266483,0.000000,0.019200
0.267484,0.000001,0.034350
0.268639,0.000004,0.051750
0.269948,0.000032,0.069150
0.270650,0.000318,0.082200
0.271531,0.000948,0.095850
0.272523,0.002154,0.111001
0.273643,0.004181,0.127501
0.274586,0.007142,0.141000
0.275586,0.011342,0.157050
0.276705,0.017051,0.173249
0.277599,0.024059,0.187499
0.278798,0.033135,0.203698
0.279704,0.043232,0.218998
0.280631,0.055323,0.233097
0.281649,0.069274,0.248247
0.282672,0.085741,0.264446
0.283577,0.102908,0.279296
0.284527,0.120390,0.293245
0.285521,0.141509,0.308845
0.286646,0.162029,0.324594
0.287603,0.185943,0.340494
0.288501,0.207571,0.354293
0.289623,0.232869,0.371093
0.290593,0.257219,0.385642
0.291937,0.286431,0.405592
0.292644,0.303894,0.416991
0.293587,0.329782,0.431391
0.294535,0.353288,0.446090
0.295504,0.377681,0.460640
0.296573,0.401644,0.476689
0.297625,0.425969,0.492889
0.298553,0.446150,0.506840
0.299546,0.468610,0.521992
0.300694,0.490392,0.539095
0.301460,0.509886,0.551697
0.302488,0.529771,0.567150
0.303525,0.549042,0.582902
0.304488,0.567912,0.597605
0.305479,0.586048,0.612757
0.306478,0.603693,0.627910
0.307484,0.621075,0.643212
0.308496,0.638069,0.658515
0.309493,0.654409,0.673667
0.310499,0.671615,0.689270
0.311490,0.687173,0.704122
0.312509,0.703207,0.719875
0.313491,0.719132,0.734578
0.314570,0.734527,0.751230
0.315498,0.750663,0.765183
0.316767,0.766019,0.780635
0.317508,0.782326,0.795938
0.318500,0.798203,0.810790
0.319506,0.813655,0.826093
0.320501,0.829309,0.841545
0.321473,0.845327,0.856248
0.322492,0.861390,0.871550
0.323486,0.877332,0.886853
0.324568,0.894722,0.903356
0.325587,0.910074,0.918508
